table,index,target,target_region,kernel_bucket,bucket_confidence,relation,close_relation,evidence_class,component_id,distance,bytes8,bytes16,bytes32,sha1_8,sha1_16,sha1_32
A,1,0x70017dba,flk_dense,AB_flk_landing_series,strong,nearest_block_start,1,close,comp_013,26,f41970f400e7f901,f41970f400e7f90186f9fa8418708420,f41970f400e7f90186f9fa8418708420a68901c6f6faf41970f4d0b7f90106f4,708d9ca0,1c9168a1,cb825fe2
A,2,0x70017daf,flk_dense,AB_flk_landing_series,strong,nearest_block_start,1,close,comp_013,15,84197084e0fe8901,84197084e0fe890146fcfaf41970f400,84197084e0fe890146fcfaf41970f400e7f90186f9fa8418708420a68901c6f6,8b6952ed,f28fc96a,b78f98cd
A,3,0x70017da4,flk_dense,AB_flk_landing_series,strong,successor_node,1,close,comp_013,0,f41a70f4600df901,f41a70f4600df90106fffa84197084e0,f41a70f4600df90106fffa84197084e0fe890146fcfaf41970f400e7f90186f9,831c93ae,5527e757,d5e22b19
A,4,0x70017d99,flk_dense,AB_flk_landing_series,strong,nearest_block_start,1,close,comp_013,7,841a708440258901,841a708440258901c601fbf41a70f460,841a708440258901c601fbf41a70f4600df90106fffa84197084e0fe890146fc,bf47d9fb,777104f2,b16e122d
A,5,0x70017d8e,flk_dense,AB_flk_landing_series,strong,nearest_block_start,1,close,comp_013,18,f41a70f4a035f901,f41a70f4a035f9018604fb841a708440,f41a70f4a035f9018604fb841a708440258901c601fbf41a70f4600df90106ff,922989d1,d1dd11d4,03708dc5
A,6,0x70017d83,flk_dense,AB_flk_landing_series,strong,nearest_block_start,1,close,comp_013,29,841a7084604f8901,841a7084604f89014607fbf41a70f4a0,841a7084604f89014607fbf41a70f4a035f9018604fb841a708440258901c601,db21ef67,b1de52a8,5b054080
B,0,0x70017dc5,flk_dense,AB_flk_landing_series,strong,nearest_block_start,1,close,comp_013,37,8418708420a68901,8418708420a68901c6f6faf41970f4d0,8418708420a68901c6f6faf41970f4d0b7f90106f4fa8419708470a5890146f1,6f0731a3,1e66f44e,29bfc49e
B,11,0x70017dd0,flk_dense,AB_flk_landing_series,strong,nearest_block_start,1,close,comp_013,48,f41970f4d0b7f901,f41970f4d0b7f90106f4fa8419708470,f41970f4d0b7f90106f4fa8419708470a5890146f1faf41970f4c084f90186ee,026401c2,d3571f50,4eaf8b23
A,0,0x70017d41,flk_dense,AC_flk_landing_series,strong,nearest_block_start,1,close,comp_011,7,8419708480d88901,8419708480d88901c617fbf41a70f400,8419708480d88901c617fbf41a70f400b4f9010615fb841a7084a0a389014612,0b8e2357,bc974c83,d13a5874
A,11,0x70017d4c,flk_dense,AC_flk_landing_series,strong,successor_node,1,close,comp_011,0,f41a70f400b4f901,f41a70f400b4f9010615fb841a7084a0,f41a70f400b4f9010615fb841a7084a0a389014612fbf41a70f4e089f901860f,bf1f8ce1,05fb9ae8,3841dba5
C,2,0x70017d36,flk_dense,AC_flk_landing_series,strong,nearest_block_start,1,close,comp_011,18,f41770f450a4f901,f41770f450a4f901861afb8419708480,f41770f450a4f901861afb8419708480d88901c617fbf41a70f400b4f9010615,31d0ae67,8acfba8c,f0ec1e8d
A,7,0x70017d78,flk_dense,A_flk_landing_series,strong,nearest_block_start,1,close,comp_012,32,f41a70f4c05ff901,f41a70f4c05ff901060afb841a708460,f41a70f4c05ff901060afb841a7084604f89014607fbf41a70f4a035f9018604,9de9a627,07a8ccf4,6349226f
A,8,0x70017d6d,flk_dense,A_flk_landing_series,strong,nearest_block_start,1,close,comp_012,21,841a708480798901,841a708480798901c60cfbf41a70f4c0,841a708480798901c60cfbf41a70f4c05ff901060afb841a7084604f89014607,a1a5ae5b,a4c1c110,b258c221
A,9,0x70017d62,flk_dense,A_flk_landing_series,strong,successor_node,1,close,comp_012,0,f41a70f4e089f901,f41a70f4e089f901860ffb841a708480,f41a70f4e089f901860ffb841a708480798901c60cfbf41a70f4c05ff901060a,ffa1d8d1,2dfa83db,4cf4b503
A,10,0x70017d57,flk_dense,A_flk_landing_series,strong,nearest_block_start,1,close,comp_012,1,841a7084a0a38901,841a7084a0a389014612fbf41a70f4e0,841a7084a0a389014612fbf41a70f4e089f901860ffb841a708480798901c60c,b035377a,ec914ff9,2ec1270d
B,1,0x70017e3e,flk_dense,B_flk_landing_series,strong,nearest_block_start,1,close,comp_006,2,f41870f480b8f901,f41870f480b8f90186d8fa2d0a1df0a4,f41870f480b8f90186d8fa2d0a1df0a40070e40070b4007084f07fd40070d4fc,190bf18b,3ea3751c,a380b97c
B,2,0x70017e33,flk_dense,B_flk_landing_series,strong,nearest_block_start,1,close,comp_006,13,8418708430d98901,8418708430d9890146dbfaf41870f480,8418708430d9890146dbfaf41870f480b8f90186d8fa2d0a1df0a40070e40070,00392696,f9a124d2,8c35ff04
B,3,0x70017e28,flk_dense,B_flk_landing_series,strong,successor_node,1,close,comp_016,0,f41870f490ebf901,f41870f490ebf90106defa8418708430,f41870f490ebf90106defa8418708430d9890146dbfaf41870f480b8f90186d8,cd8513a5,abcfc2c3,7242f414
B,4,0x70017e1d,flk_dense,B_flk_landing_series,strong,nearest_block_start,1,close,comp_016,3,84197084400c8901,84197084400c8901c6e0faf41870f490,84197084400c8901c6e0faf41870f490ebf90106defa8418708430d9890146db,95003f46,2bc05545,786eefac
B,5,0x70017e12,flk_dense,B_flk_landing_series,strong,successor_node,1,close,comp_015,0,f41970f4a01ef901,f41970f4a01ef90186e3fa8419708440,f41970f4a01ef90186e3fa84197084400c8901c6e0faf41870f490ebf90106de,5bf07941,b0cbb18b,bda10560
B,6,0x70017e07,flk_dense,B_flk_landing_series,strong,successor_node,1,close,comp_014,0,84197084503f8901,84197084503f890146e6faf41970f4a0,84197084503f890146e6faf41970f4a01ef90186e3fa84197084400c8901c6e0,96d18c91,480f8279,3896adf5
B,7,0x70017dfc,flk_dense,B_flk_landing_series,strong,nearest_block_start,1,close,comp_014,4,f41970f4b051f901,f41970f4b051f90106e9fa8419708450,f41970f4b051f90106e9fa84197084503f890146e6faf41970f4a01ef90186e3,631274af,d29597ef,2e77f37d
B,8,0x70017df1,flk_dense,B_flk_landing_series,strong,nearest_block_start,1,close,comp_014,15,8419708460728901,8419708460728901c6ebfaf41970f4b0,8419708460728901c6ebfaf41970f4b051f90106e9fa84197084503f890146e6,c809eea0,50f63211,70ec30c4
B,9,0x70017de6,flk_dense,B_flk_landing_series,strong,nearest_block_start,1,close,comp_014,26,f41970f4c084f901,f41970f4c084f90186eefa8419708460,f41970f4c084f90186eefa8419708460728901c6ebfaf41970f4b051f90106e9,efa08204,9e5cbb25,077952b9
B,10,0x70017ddb,flk_dense,B_flk_landing_series,strong,nearest_block_start,1,close,comp_014,37,8419708470a58901,8419708470a5890146f1faf41970f4c0,8419708470a5890146f1faf41970f4c084f90186eefa8419708460728901c6eb,2cfdc599,d0911738,3cc2133f
C,1,0x700169a4,flk_dense,C_flk_control_anchor,strong,nearest_block_start,1,close,comp_000,8,f41770f4e082f901,f41770f4e082f901c0828260558230bb,f41770f4e082f901c0828260558230bb82403d82704d82b033825044821e8a16,adb9943a,936e2b76,b0756f21
C,0,0x70017cc8,flk_dense,C_flk_landing_series,strong,nearest_block_start,1,close,comp_008,8,f41770f4c070f901,f41770f4c070f9010636fb84187084b0,f41770f4c070f9010636fb84187084b08489014633fbf41870f49072f9018630,44bc0403,605636f3,ee127d77
C,3,0x70017d2b,flk_dense,C_flk_landing_series,strong,nearest_block_start,1,close,comp_036,27,8417708470b68901,8417708470b68901461dfbf41770f450,8417708470b68901461dfbf41770f450a4f901861afb8419708480d88901c617,aef5dad6,d24dc508,52094d6b
C,4,0x70017d20,flk_dense,C_flk_landing_series,strong,nearest_block_start,1,close,comp_036,16,f41770f4e0d7f901,f41770f4e0d7f9010620fb8417708470,f41770f4e0d7f9010620fb8417708470b68901461dfbf41770f450a4f901861a,482b1d47,09782d90,c5aa249f
C,5,0x70017d15,flk_dense,C_flk_landing_series,strong,successor_node,1,close,comp_036,0,8417708400ea8901,8417708400ea8901c622fbf41770f4e0,8417708400ea8901c622fbf41770f4e0d7f9010620fb8417708470b68901461d,8de76ef5,47571014,54229d78
C,6,0x70017d0a,flk_dense,C_flk_landing_series,strong,successor_node,1,close,comp_010,0,f41870f4700bf901,f41870f4700bf9018625fb8417708400,f41870f4700bf9018625fb8417708400ea8901c622fbf41770f4e0d7f9010620,8cf2579c,5b9caa9f,8386fdc0
C,7,0x70017cff,flk_dense,C_flk_landing_series,strong,nearest_block_start,1,close,comp_010,1,84187084901d8901,84187084901d89014628fbf41870f470,84187084901d89014628fbf41870f4700bf9018625fb8417708400ea8901c622,9179f142,5663e7e5,d29d3b9a
C,8,0x70017cf4,flk_dense,C_flk_landing_series,strong,successor_node,1,close,comp_035,0,f41870f4003ff901,f41870f4003ff901062bfb8418708490,f41870f4003ff901062bfb84187084901d89014628fbf41870f4700bf9018625,04b57d51,7ef6f875,8060d186
C,9,0x70017ce9,flk_dense,C_flk_landing_series,strong,successor_node,1,close,comp_009,0,8418708420518901,8418708420518901c62dfbf41870f400,8418708420518901c62dfbf41870f4003ff901062bfb84187084901d89014628,8a10899b,1372e49d,2e2f9519
C,10,0x70017cde,flk_dense,C_flk_landing_series,strong,nearest_block_start,1,close,comp_009,2,f41870f49072f901,f41870f49072f9018630fb8418708420,f41870f49072f9018630fb8418708420518901c62dfbf41870f4003ff901062b,48d30f86,a0eee200,555a04d8
C,11,0x70017cd3,flk_dense,C_flk_landing_series,strong,nearest_block_start,1,close,comp_008,3,84187084b0848901,84187084b08489014633fbf41870f490,84187084b08489014633fbf41870f49072f9018630fb8418708420518901c62d,e654fa24,9d5d261d,1b7da5e4
D,0,0x70081ee7,ann_dense,D_ann_generated_stub_family,strong,exact_block_start,1,exact,comp_038,0,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f0200025ff11b2020da0a874a0,f3832e46,e7981891,62d95fa6
D,1,0x70082aac,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,1,close,comp_049,16,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000e5c21092020da0a874a0,f3832e46,e7981891,58a516ed
D,2,0x70082a44,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,1,close,comp_047,28,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f0200065780192020da0a874a0,f3832e46,e7981891,0db922de
D,3,0x700829dc,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,1,close,comp_047,16,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000e5b01592020da0a874a0,f3832e46,e7981891,54b0d5f6
D,4,0x70082974,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,1,close,comp_046,4,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000651b0f92020da0a874a0,f3832e46,e7981891,325bc8bd
D,5,0x7008290c,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,1,close,comp_044,8,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000e57b0392020da0a874a0,f3832e46,e7981891,5059a0ef
D,6,0x700828a4,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,1,close,comp_042,24,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000652d0492020da0a874a0,f3832e46,e7981891,a7a03943
D,7,0x7008283c,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,1,close,comp_042,20,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000e5e80d92020da0a874a0,f3832e46,e7981891,56dfd6f1
D,8,0x700827d4,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,1,close,comp_041,8,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000658a0e92020da0a874a0,f3832e46,e7981891,fa1baddd
D,9,0x7008276c,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,1,close,comp_039,8,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000e5ce0492020da0a874a0,f3832e46,e7981891,79bb1314
D,10,0x70082704,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,1,close,comp_037,28,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f0200065640392020da0a874a0,f3832e46,e7981891,ac7ee150
D,11,0x7008269c,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,0,far,comp_037,76,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000e5620a92020da0a874a0,f3832e46,e7981891,da6e32f1
D,12,0x70082634,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,0,far,comp_037,180,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f0200065e00792020da0a874a0,f3832e46,e7981891,e902d76c
D,13,0x700825cc,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,0,far,comp_037,284,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000e5350b92020da0a874a0,f3832e46,e7981891,8e4f9d08
D,14,0x70082557,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,0,far,comp_037,401,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f0200025180c92020da0a874a0,f3832e46,e7981891,264e2ec7
D,15,0x700824e2,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,0,far,comp_051,496,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f0200065f90c92020da0a874a0,f3832e46,e7981891,38fb97f1
D,16,0x7008246b,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,0,far,comp_051,377,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000e5700792020da0a874a0,f3832e46,e7981891,e9330bba
D,17,0x700823f4,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,0,far,comp_051,258,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f0200065780792020da0a874a0,f3832e46,e7981891,35bcf96f
D,18,0x7008237f,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,0,far,comp_051,141,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000a57f0792020da0a874a0,f3832e46,e7981891,25528eed
D,19,0x70082308,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,1,close,comp_051,22,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f0200025870792020da0a874a0,f3832e46,e7981891,77cb4916
D,20,0x70082293,ann_dense,D_ann_generated_stub_family,strong,exact_block_start,1,exact,comp_050,0,ceb0010398fc0008,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f0200065711592020da0a874a0,f3832e46,e7981891,d7fe7ccb
D,21,0x70081ec5,ann_dense,D_ann_generated_stub_family,strong,nearest_block_start,1,close,comp_037,2,1c2565061ebe6a66,1c2565061ebe6a66255e64100030d005,1c2565061ebe6a66255e64100030d0058cf40604021df000000000000022a200,905eb601,6f7a0373,eb1c5e85
