kernel_bucket,sample_class,width,sample_count,fixed_byte_count,variable_byte_count,fixed_bit_count,variable_bit_count,mask,sha1_8_counts,target_samples
AB_flk_landing_series,all,8,8,2,6,42,22,?? ?? 70 ?? ?? ?? ?? 01,708d9ca0:1 8b6952ed:1 831c93ae:1 bf47d9fb:1 922989d1:1 db21ef67:1,0x70017dba 0x70017daf 0x70017da4 0x70017d99 0x70017d8e 0x70017d83 0x70017dc5 0x70017dd0
AB_flk_landing_series,all,16,8,3,13,83,45,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? ?? ?? ?? 70 ?? ??,708d9ca0:1 8b6952ed:1 831c93ae:1 bf47d9fb:1 922989d1:1 db21ef67:1,0x70017dba 0x70017daf 0x70017da4 0x70017d99 0x70017d8e 0x70017d83 0x70017dc5 0x70017dd0
AB_flk_landing_series,all,32,8,6,26,158,98,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? ?? ?? ?? 70 ?? ?? ?? ?? 01 ?? ?? ?? ?? ?? 70 ?? ?? ?? ?? 01 ?? ??,708d9ca0:1 8b6952ed:1 831c93ae:1 bf47d9fb:1 922989d1:1 db21ef67:1,0x70017dba 0x70017daf 0x70017da4 0x70017d99 0x70017d8e 0x70017d83 0x70017dc5 0x70017dd0
AB_flk_landing_series,close,8,8,2,6,42,22,?? ?? 70 ?? ?? ?? ?? 01,708d9ca0:1 8b6952ed:1 831c93ae:1 bf47d9fb:1 922989d1:1 db21ef67:1,0x70017dba 0x70017daf 0x70017da4 0x70017d99 0x70017d8e 0x70017d83 0x70017dc5 0x70017dd0
AB_flk_landing_series,close,16,8,3,13,83,45,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? ?? ?? ?? 70 ?? ??,708d9ca0:1 8b6952ed:1 831c93ae:1 bf47d9fb:1 922989d1:1 db21ef67:1,0x70017dba 0x70017daf 0x70017da4 0x70017d99 0x70017d8e 0x70017d83 0x70017dc5 0x70017dd0
AB_flk_landing_series,close,32,8,6,26,158,98,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? ?? ?? ?? 70 ?? ?? ?? ?? 01 ?? ?? ?? ?? ?? 70 ?? ?? ?? ?? 01 ?? ??,708d9ca0:1 8b6952ed:1 831c93ae:1 bf47d9fb:1 922989d1:1 db21ef67:1,0x70017dba 0x70017daf 0x70017da4 0x70017d99 0x70017d8e 0x70017d83 0x70017dc5 0x70017dd0
AB_flk_landing_series,strong,8,8,2,6,42,22,?? ?? 70 ?? ?? ?? ?? 01,708d9ca0:1 8b6952ed:1 831c93ae:1 bf47d9fb:1 922989d1:1 db21ef67:1,0x70017dba 0x70017daf 0x70017da4 0x70017d99 0x70017d8e 0x70017d83 0x70017dc5 0x70017dd0
AB_flk_landing_series,strong,16,8,3,13,83,45,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? ?? ?? ?? 70 ?? ??,708d9ca0:1 8b6952ed:1 831c93ae:1 bf47d9fb:1 922989d1:1 db21ef67:1,0x70017dba 0x70017daf 0x70017da4 0x70017d99 0x70017d8e 0x70017d83 0x70017dc5 0x70017dd0
AB_flk_landing_series,strong,32,8,6,26,158,98,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? ?? ?? ?? 70 ?? ?? ?? ?? 01 ?? ?? ?? ?? ?? 70 ?? ?? ?? ?? 01 ?? ??,708d9ca0:1 8b6952ed:1 831c93ae:1 bf47d9fb:1 922989d1:1 db21ef67:1,0x70017dba 0x70017daf 0x70017da4 0x70017d99 0x70017d8e 0x70017d83 0x70017dc5 0x70017dd0
AC_flk_landing_series,all,8,3,2,6,43,21,?? ?? 70 ?? ?? ?? ?? 01,0b8e2357:1 bf1f8ce1:1 31d0ae67:1,0x70017d41 0x70017d4c 0x70017d36
AC_flk_landing_series,all,16,3,4,12,91,37,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fb ?? ?? 70 ?? ??,0b8e2357:1 bf1f8ce1:1 31d0ae67:1,0x70017d41 0x70017d4c 0x70017d36
