kernel_bucket,sample_class,width,offset_start,offset_end,size,variable_bits_or,fixed_bits_and,field_kinds,sample_count
AB_flk_landing_series,all,32,0,1,2,0x73,0x8c,high_nibble_variable:1 low_nibble_variable:1,8
AB_flk_landing_series,all,32,3,6,4,0xfb,0x04,high_nibble_variable:3 variable_byte:1,8
AB_flk_landing_series,all,32,8,12,5,0xff,0x00,high_nibble_variable:2 low_nibble_variable:2 variable_byte:1,8
AB_flk_landing_series,all,32,14,17,4,0xfb,0x04,high_nibble_variable:3 variable_byte:1,8
AB_flk_landing_series,all,32,19,23,5,0xff,0x00,high_nibble_variable:2 low_nibble_variable:2 variable_byte:1,8
AB_flk_landing_series,all,32,25,28,4,0xfb,0x04,high_nibble_variable:3 variable_byte:1,8
AB_flk_landing_series,all,32,30,31,2,0xff,0x00,high_nibble_variable:1 variable_byte:1,8
AB_flk_landing_series,close,32,0,1,2,0x73,0x8c,high_nibble_variable:1 low_nibble_variable:1,8
AB_flk_landing_series,close,32,3,6,4,0xfb,0x04,high_nibble_variable:3 variable_byte:1,8
AB_flk_landing_series,close,32,8,12,5,0xff,0x00,high_nibble_variable:2 low_nibble_variable:2 variable_byte:1,8
AB_flk_landing_series,close,32,14,17,4,0xfb,0x04,high_nibble_variable:3 variable_byte:1,8
AB_flk_landing_series,close,32,19,23,5,0xff,0x00,high_nibble_variable:2 low_nibble_variable:2 variable_byte:1,8
AB_flk_landing_series,close,32,25,28,4,0xfb,0x04,high_nibble_variable:3 variable_byte:1,8
AB_flk_landing_series,close,32,30,31,2,0xff,0x00,high_nibble_variable:1 variable_byte:1,8
AB_flk_landing_series,strong,32,0,1,2,0x73,0x8c,high_nibble_variable:1 low_nibble_variable:1,8
AB_flk_landing_series,strong,32,3,6,4,0xfb,0x04,high_nibble_variable:3 variable_byte:1,8
AB_flk_landing_series,strong,32,8,12,5,0xff,0x00,high_nibble_variable:2 low_nibble_variable:2 variable_byte:1,8
AB_flk_landing_series,strong,32,14,17,4,0xfb,0x04,high_nibble_variable:3 variable_byte:1,8
AB_flk_landing_series,strong,32,19,23,5,0xff,0x00,high_nibble_variable:2 low_nibble_variable:2 variable_byte:1,8
AB_flk_landing_series,strong,32,25,28,4,0xfb,0x04,high_nibble_variable:3 variable_byte:1,8
AB_flk_landing_series,strong,32,30,31,2,0xff,0x00,high_nibble_variable:1 variable_byte:1,8
AC_flk_landing_series,all,32,0,1,2,0x7f,0x80,high_nibble_variable:1 low_nibble_variable:1,3
AC_flk_landing_series,all,32,3,6,4,0xfc,0x03,high_nibble_variable:3 variable_byte:1,3
AC_flk_landing_series,all,32,8,9,2,0xcf,0x30,high_nibble_variable:1 low_nibble_variable:1,3
AC_flk_landing_series,all,32,11,12,2,0x73,0x8c,high_nibble_variable:1 low_nibble_variable:1,3
AC_flk_landing_series,all,32,14,17,4,0xff,0x00,high_nibble_variable:3 variable_byte:1,3
AC_flk_landing_series,all,32,19,20,2,0xc7,0x38,high_nibble_variable:1 low_nibble_variable:1,3
AC_flk_landing_series,all,32,22,22,1,0x70,0x8f,high_nibble_variable:1,3
AC_flk_landing_series,all,32,25,28,4,0xff,0x00,high_nibble_variable:3 variable_byte:1,3
AC_flk_landing_series,all,32,30,31,2,0xdf,0x20,high_nibble_variable:1 variable_byte:1,3
AC_flk_landing_series,close,32,0,1,2,0x7f,0x80,high_nibble_variable:1 low_nibble_variable:1,3
AC_flk_landing_series,close,32,3,6,4,0xfc,0x03,high_nibble_variable:3 variable_byte:1,3
AC_flk_landing_series,close,32,8,9,2,0xcf,0x30,high_nibble_variable:1 low_nibble_variable:1,3
AC_flk_landing_series,close,32,11,12,2,0x73,0x8c,high_nibble_variable:1 low_nibble_variable:1,3
AC_flk_landing_series,close,32,14,17,4,0xff,0x00,high_nibble_variable:3 variable_byte:1,3
AC_flk_landing_series,close,32,19,20,2,0xc7,0x38,high_nibble_variable:1 low_nibble_variable:1,3
AC_flk_landing_series,close,32,22,22,1,0x70,0x8f,high_nibble_variable:1,3
