component_id,kernel_bucket,bucket_confidence,component_kind,region_counts,node_count,known_block_count,edge_count,dispatch_count,close_dispatch_count,far_dispatch_count,exact_dispatch_count,successor_dispatch_count,tables,indices,relations,addr_min,addr_max,evidence
comp_013,AB_flk_landing_series,strong,linear_chain,flk_dense:4,5,4,4,8,8,0,0,1,A:6 B:2,A[1] A[2] A[3] A[4] A[5] A[6] B[0] B[11],nearest_block_start:7 successor_node:1,0x7001756c,0x70017da4,dispatch_tables_AB;close_dispatch_8;successor_dispatch_1;abc_dispatch_landing_series
comp_011,AC_flk_landing_series,strong,linear_chain,flk_dense:3,4,3,3,3,3,0,0,1,A:2 C:1,A[0] A[11] C[2],nearest_block_start:2 successor_node:1,0x70017510,0x70017d4c,dispatch_tables_AC;close_dispatch_3;successor_dispatch_1;abc_dispatch_landing_series
comp_012,A_flk_landing_series,strong,linear_chain,flk_dense:2,3,2,2,4,4,0,0,1,A:4,A[7] A[8] A[9] A[10],nearest_block_start:3 successor_node:1,0x70017540,0x70017d62,dispatch_tables_A;close_dispatch_4;successor_dispatch_1;abc_dispatch_landing_series
comp_006,B_flk_landing_series,strong,branch_or_join,flk_dense:8,9,8,8,2,2,0,0,0,B:2,B[1] B[2],nearest_block_start:2,0x70017460,0x70017e49,dispatch_tables_B;close_dispatch_2;abc_dispatch_landing_series
comp_014,B_flk_landing_series,strong,linear_chain,flk_dense:5,6,5,5,5,5,0,0,1,B:5,B[6] B[7] B[8] B[9] B[10],nearest_block_start:4 successor_node:1,0x7001759c,0x70017e07,dispatch_tables_B;close_dispatch_5;successor_dispatch_1;abc_dispatch_landing_series
comp_015,B_flk_landing_series,strong,linear_chain,flk_dense:2,3,2,2,1,1,0,0,1,B:1,B[5],successor_node:1,0x700175f8,0x70017e12,dispatch_tables_B;close_dispatch_1;successor_dispatch_1;abc_dispatch_landing_series
comp_016,B_flk_landing_series,strong,linear_chain,flk_dense:2,3,2,2,2,2,0,0,1,B:2,B[3] B[4],successor_node:1 nearest_block_start:1,0x70017608,0x70017e28,dispatch_tables_B;close_dispatch_2;successor_dispatch_1;abc_dispatch_landing_series
comp_000,C_flk_control_anchor,strong,branch_or_join,flk_dense:11,12,11,11,1,1,0,0,0,C:1,C[1],nearest_block_start:1,0x700169ac,0x70017a84,dispatch_tables_C;close_dispatch_1;C1_0x700169a4_anchor
comp_008,C_flk_landing_series,strong,linear_chain,flk_dense:2,3,2,2,2,2,0,0,0,C:2,C[0] C[11],nearest_block_start:2,0x700174bc,0x70017cd1,dispatch_tables_C;close_dispatch_2;abc_dispatch_landing_series
comp_009,C_flk_landing_series,strong,linear_chain,flk_dense:2,3,2,2,2,2,0,0,1,C:2,C[9] C[10],successor_node:1 nearest_block_start:1,0x700174cc,0x70017ce9,dispatch_tables_C;close_dispatch_2;successor_dispatch_1;abc_dispatch_landing_series
