source_region,source,kind,raw,target,target_region,target_prop_addr,target_prop_size,target_prop_flags,nearest_anchor_distance,score,confidence,reasons,note
flk_dense,0x70016d8d,loop,768217,0x70016da8,flk_dense,0x70016bb0,0x35e,insn|data|branch_target|no_reorder|no_transform,133,32,high,target_in_text;target_in_flk_dense;target_has_prop:0x35e:insn|data|branch_target|no_reorder|no_transform;target_prop_control;target_prop_insn,standard LOOP-family byte pattern
flk_dense,0x70017547,j,060402,0x70017d58,flk_dense,0x70017d57,0xb,insn|data|no_reorder|no_transform,1,31,medium,target_in_text;target_in_flk_dense;target_has_prop:0xb:insn|data|no_reorder|no_transform;target_prop_insn;target_at_or_adjacent_anchor:1,standard J candidate
flk_dense,0x700174ee,j,060402,0x70017d00,flk_dense,0x70017cff,0xb,insn|data|no_reorder|no_transform,1,31,medium,target_in_text;target_in_flk_dense;target_has_prop:0xb:insn|data|no_reorder|no_transform;target_prop_insn;target_at_or_adjacent_anchor:1,standard J candidate
flk_dense,0x700174be,j,060402,0x70017cd0,flk_dense,0x70017cc8,0xb,insn|data|no_reorder|no_transform,1,31,medium,target_in_text;target_in_flk_dense;target_has_prop:0xb:insn|data|no_reorder|no_transform;target_prop_insn;target_at_or_adjacent_anchor:1,standard J candidate
flk_dense,0x70017c39,bnez,56ca20,0x70017e49,flk_dense,0x70017e49,0x4,insn|data|branch_target|no_reorder|no_transform,11,29,medium,target_in_text;target_in_flk_dense;target_has_prop:0x4:insn|data|branch_target|no_reorder|no_transform;target_prop_control;target_prop_insn,standard long zero-branch candidate
flk_dense,0x700179f5,bnez,568300,0x70017a01,flk_dense,0x70017a01,0x83,insn|data|branch_target|no_reorder|no_transform,370,29,medium,target_in_text;target_in_flk_dense;target_has_prop:0x83:insn|data|branch_target|no_reorder|no_transform;target_prop_control;target_prop_insn,standard long zero-branch candidate
flk_dense,0x7001797f,bnez,566a4c,0x70017e49,flk_dense,0x70017e49,0x4,insn|data|branch_target|no_reorder|no_transform,11,29,medium,target_in_text;target_in_flk_dense;target_has_prop:0x4:insn|data|branch_target|no_reorder|no_transform;target_prop_control;target_prop_insn,standard long zero-branch candidate
flk_dense,0x7001796b,j,062200,0x700179f4,flk_dense,0x70017930,0xd1,insn|data|branch_target|no_reorder|no_transform,383,29,medium,target_in_text;target_in_flk_dense;target_has_prop:0xd1:insn|data|branch_target|no_reorder|no_transform;target_prop_control;target_prop_insn,standard J candidate
flk_dense,0x70017960,j,060402,0x70018174,flk_dense,0x70018157,0x2b,insn|data|branch_target|no_reorder|no_transform,822,29,medium,target_in_text;target_in_flk_dense;target_has_prop:0x2b:insn|data|branch_target|no_reorder|no_transform;target_prop_control;target_prop_insn,standard J candidate
flk_dense,0x7001793d,j,060402,0x70018150,flk_dense,0x70018128,0x2f,insn|data|branch_target|no_reorder|no_transform,786,29,medium,target_in_text;target_in_flk_dense;target_has_prop:0x2f:insn|data|branch_target|no_reorder|no_transform;target_prop_control;target_prop_insn,standard J candidate
