index,target,relation,close_relation,evidence_class,component_id,distance,prev_delta,next_delta,nearest_exact_target,nearest_exact_distance,bytes16,bytes32,sha1_16,sha1_32,stub_note
0,0x70081ee7,exact_block_start,1,exact,comp_038,0,,0xbc5,0x70081ee7,0,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f0200025ff11b2020da0a874a0,e7981891,62d95fa6,strong_generated_stub_sample
1,0x70082aac,nearest_block_start,1,close,comp_049,16,0xbc5,-0x68,0x70082293,2073,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000e5c21092020da0a874a0,e7981891,58a516ed,strong_generated_stub_sample
2,0x70082a44,nearest_block_start,1,close,comp_047,28,-0x68,-0x68,0x70082293,1969,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f0200065780192020da0a874a0,e7981891,0db922de,strong_generated_stub_sample
3,0x700829dc,nearest_block_start,1,close,comp_047,16,-0x68,-0x68,0x70082293,1865,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000e5b01592020da0a874a0,e7981891,54b0d5f6,strong_generated_stub_sample
4,0x70082974,nearest_block_start,1,close,comp_046,4,-0x68,-0x68,0x70082293,1761,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000651b0f92020da0a874a0,e7981891,325bc8bd,strong_generated_stub_sample
5,0x7008290c,nearest_block_start,1,close,comp_044,8,-0x68,-0x68,0x70082293,1657,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000e57b0392020da0a874a0,e7981891,5059a0ef,strong_generated_stub_sample
6,0x700828a4,nearest_block_start,1,close,comp_042,24,-0x68,-0x68,0x70082293,1553,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000652d0492020da0a874a0,e7981891,a7a03943,strong_generated_stub_sample
7,0x7008283c,nearest_block_start,1,close,comp_042,20,-0x68,-0x68,0x70082293,1449,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000e5e80d92020da0a874a0,e7981891,56dfd6f1,strong_generated_stub_sample
8,0x700827d4,nearest_block_start,1,close,comp_041,8,-0x68,-0x68,0x70082293,1345,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000658a0e92020da0a874a0,e7981891,fa1baddd,strong_generated_stub_sample
9,0x7008276c,nearest_block_start,1,close,comp_039,8,-0x68,-0x68,0x70082293,1241,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f02000e5ce0492020da0a874a0,e7981891,79bb1314,strong_generated_stub_sample
10,0x70082704,nearest_block_start,1,close,comp_037,28,-0x68,-0x68,0x70082293,1137,ceb0010398fc00080802400240080402,ceb0010398fc00080802400240080402f02000f0200065640392020da0a874a0,e7981891,ac7ee150,strong_generated_stub_sample
