kernel_bucket,sample_class,width,offset,sample_count,unique_values,entropy,fixed_byte,fixed_bits,variable_bits,dominant_ratio_bps,field_kind,value_counts
AB_flk_landing_series,all,8,0,8,2,1.0000,0,0x8f,0x70,5000,high_nibble_variable,f4:4 84:4
AB_flk_landing_series,all,8,1,8,3,1.4056,0,0xfc,0x03,5000,low_nibble_variable,1a:4 19:3 18:1
AB_flk_landing_series,all,8,2,8,1,-0.0000,1,0xff,0x00,10000,fixed_byte,70:8
AB_flk_landing_series,all,8,3,8,2,1.0000,0,0x8f,0x70,5000,high_nibble_variable,f4:4 84:4
AB_flk_landing_series,all,8,4,8,7,2.7500,0,0x0f,0xf0,2500,high_nibble_variable,60:2 00:1 e0:1 40:1 a0:1 20:1 d0:1
AB_flk_landing_series,all,8,5,8,8,3.0000,0,0x04,0xfb,1250,variable_byte,e7:1 fe:1 0d:1 25:1 35:1 4f:1 a6:1 b7:1
AB_flk_landing_series,all,8,6,8,2,1.0000,0,0x8f,0x70,5000,high_nibble_variable,f9:4 89:4
AB_flk_landing_series,all,8,7,8,1,-0.0000,1,0xff,0x00,10000,fixed_byte,01:8
AB_flk_landing_series,all,16,0,8,2,1.0000,0,0x8f,0x70,5000,high_nibble_variable,f4:4 84:4
AB_flk_landing_series,all,16,1,8,3,1.4056,0,0xfc,0x03,5000,low_nibble_variable,1a:4 19:3 18:1
AB_flk_landing_series,all,16,2,8,1,-0.0000,1,0xff,0x00,10000,fixed_byte,70:8
AB_flk_landing_series,all,16,3,8,2,1.0000,0,0x8f,0x70,5000,high_nibble_variable,f4:4 84:4
AB_flk_landing_series,all,16,4,8,7,2.7500,0,0x0f,0xf0,2500,high_nibble_variable,60:2 00:1 e0:1 40:1 a0:1 20:1 d0:1
AB_flk_landing_series,all,16,5,8,8,3.0000,0,0x04,0xfb,1250,variable_byte,e7:1 fe:1 0d:1 25:1 35:1 4f:1 a6:1 b7:1
AB_flk_landing_series,all,16,6,8,2,1.0000,0,0x8f,0x70,5000,high_nibble_variable,f9:4 89:4
AB_flk_landing_series,all,16,7,8,1,-0.0000,1,0xff,0x00,10000,fixed_byte,01:8
AB_flk_landing_series,all,16,8,8,4,2.0000,0,0x3f,0xc0,2500,high_nibble_variable,86:2 46:2 06:2 c6:2
AB_flk_landing_series,all,16,9,8,8,3.0000,0,0x00,0xff,1250,variable_byte,f9:1 fc:1 ff:1 01:1 04:1 07:1 f6:1 f4:1
AB_flk_landing_series,all,16,10,8,2,0.9544,0,0xfe,0x01,6250,low_nibble_variable,fa:5 fb:3
AB_flk_landing_series,all,16,11,8,2,1.0000,0,0x8f,0x70,5000,high_nibble_variable,84:4 f4:4
AB_flk_landing_series,all,16,12,8,3,1.4056,0,0xfc,0x03,5000,low_nibble_variable,19:4 1a:3 18:1
AB_flk_landing_series,all,16,13,8,1,-0.0000,1,0xff,0x00,10000,fixed_byte,70:8
AB_flk_landing_series,all,16,14,8,2,1.0000,0,0x8f,0x70,5000,high_nibble_variable,84:4 f4:4
AB_flk_landing_series,all,16,15,8,8,3.0000,0,0x0f,0xf0,1250,high_nibble_variable,20:1 00:1 e0:1 60:1 40:1 a0:1 d0:1 70:1
AB_flk_landing_series,all,32,0,8,2,1.0000,0,0x8f,0x70,5000,high_nibble_variable,f4:4 84:4
AB_flk_landing_series,all,32,1,8,3,1.4056,0,0xfc,0x03,5000,low_nibble_variable,1a:4 19:3 18:1
