component_id,component_kind,region_counts,node_count,known_block_count,unresolved_node_count,edge_count,pcrel_edge_count,fallthrough_edge_count,entry_block_count,terminal_block_count,addr_min,addr_max,entry_blocks,terminal_blocks,unresolved_nodes,block_confidences,extent_statuses,top_prop_groups
comp_000,branch_or_join,flk_dense:11,12,11,1,11,5,6,4,0,0x700169ac,0x70017a84,0x700169ac 0x70016a38 0x700171f8 0x70017230,,0x70017a84,entry:6 strong:5,fallthrough_to_next_start:6 terminated_by_pcrel_source:5,0x5f6:insn|data|loop_target|no_reorder|no_transform:6 0x83:insn|data|branch_target|no_reorder|no_transform:3 0x8c:insn|data|branch_target|no_reorder|no_transform:1 0x157:insn|data|branch_target|no_reorder|no_transform:1
comp_001,branch_or_join,flk_dense:9,10,9,1,9,4,5,3,0,0x70016bb0,0x70017c30,0x70016bb0 0x70017360 0x700173f0,,0x70017c30,entry:5 strong:4,fallthrough_to_next_start:5 terminated_by_pcrel_source:4,0x5f6:insn|data|loop_target|no_reorder|no_transform:5 0xaf:insn|data|branch_target|no_reorder|no_transform:3 0x35e:insn|data|branch_target|no_reorder|no_transform:1
comp_002,branch_or_join,flk_dense:4,5,4,1,4,2,2,2,0,0x70016e2d,0x70017eab,0x70016e2d 0x70017e84,,0x70017eab,entry:2 medium:1 strong:1,fallthrough_to_next_start:2 terminated_by_pcrel_source|capped_at_next_start:1 terminated_by_pcrel_source:1,0x2f:insn|data|no_reorder|no_transform:2 0x1e1:insn|data|branch_target|no_reorder|no_transform:1 0x35e:insn|data|branch_target|no_reorder|no_transform:1
comp_003,branch_or_join,flk_dense:4,5,4,1,4,2,2,2,0,0x70016f0e,0x70017f65,0x70016f0e 0x70017f38,,0x70017f65,open:1 medium:1 entry:1 strong:1,terminated_by_pcrel_source:2 fallthrough_to_next_start|capped_at_prop_end:1 fallthrough_to_next_start:1,0x2f:insn|data|no_reorder|no_transform:2 0x1e1:insn|data|branch_target|no_reorder|no_transform:1 0x5f6:insn|data|loop_target|no_reorder|no_transform:1
comp_004,branch_or_join,flk_dense:15,16,15,1,15,5,10,5,0,0x70017274,0x70017b73,0x70017274 0x70017288 0x70017318 0x70017330 0x70017348,,0x70017b73,entry:10 strong:5,fallthrough_to_next_start:10 terminated_by_pcrel_source:5,0x5f6:insn|data|loop_target|no_reorder|no_transform:10 0xfd:insn|data|branch_target|no_reorder|no_transform:5
comp_005,linear_chain,flk_dense:3,4,3,1,3,1,2,1,0,0x70017410,0x70017c70,0x70017410,,0x70017c70,strong:1 open:1 entry:1,terminated_by_pcrel_source:1 fallthrough_to_next_start|capped_at_prop_end:1 fallthrough_to_next_start:1,0x5f6:insn|data|loop_target|no_reorder|no_transform:2 0x21:insn|data|branch_target|no_reorder|no_transform:1
comp_006,branch_or_join,flk_dense:8,9,8,1,8,3,5,2,0,0x70017460,0x70017e49,0x70017460 0x70017624,,0x70017e49,entry:5 landing:1 strong:1 medium:1,fallthrough_to_next_start:5 terminated_by_pcrel_source:3,0x5f6:insn|data|loop_target|no_reorder|no_transform:3 0x1e1:insn|data|branch_target|no_reorder|no_transform:2 0xb:insn|data|no_reorder|no_transform:2 0x2c:insn|data|branch_target|no_reorder|no_transform:1
comp_007,linear_chain,flk_dense:4,5,4,1,4,1,3,1,0,0x70017480,0x70017cbd,0x70017480,,0x70017cbd,entry:3 strong:1,fallthrough_to_next_start:3 terminated_by_pcrel_source:1,0x21:insn|data|branch_target|no_reorder|no_transform:3 0x5f6:insn|data|loop_target|no_reorder|no_transform:1
comp_008,linear_chain,flk_dense:2,3,2,1,2,1,1,1,0,0x700174bc,0x70017cd1,0x700174bc,,0x70017cd1,landing:1 entry:1,terminated_by_pcrel_source:1 fallthrough_to_next_start:1,0x5f6:insn|data|loop_target|no_reorder|no_transform:1 0xb:insn|data|no_reorder|no_transform:1
comp_009,linear_chain,flk_dense:2,3,2,1,2,1,1,1,0,0x700174cc,0x70017ce9,0x700174cc,,0x70017ce9,landing:1 entry:1,terminated_by_pcrel_source:1 fallthrough_to_next_start:1,0x5f6:insn|data|loop_target|no_reorder|no_transform:1 0xb:insn|data|no_reorder|no_transform:1
comp_010,linear_chain,flk_dense:2,3,2,1,2,1,1,1,0,0x700174e0,0x70017d0a,0x700174e0,,0x70017d0a,landing:1 entry:1,terminated_by_pcrel_source:1 fallthrough_to_next_start:1,0x5f6:insn|data|loop_target|no_reorder|no_transform:1 0xb:insn|data|no_reorder|no_transform:1
comp_011,linear_chain,flk_dense:3,4,3,1,3,1,2,1,0,0x70017510,0x70017d4c,0x70017510,,0x70017d4c,entry:2 landing:1,fallthrough_to_next_start:2 terminated_by_pcrel_source:1,0xdc:insn|data|branch_target|no_reorder|no_transform:2 0xb:insn|data|no_reorder|no_transform:1
comp_012,linear_chain,flk_dense:2,3,2,1,2,1,1,1,0,0x70017540,0x70017d62,0x70017540,,0x70017d62,entry:1 strong:1,fallthrough_to_next_start:1 terminated_by_pcrel_source:1,0xb:insn|data|no_reorder|no_transform:1 0xdc:insn|data|branch_target|no_reorder|no_transform:1
comp_013,linear_chain,flk_dense:4,5,4,1,4,1,3,1,0,0x7001756c,0x70017da4,0x7001756c,,0x70017da4,entry:3 strong:1,fallthrough_to_next_start:3 terminated_by_pcrel_source:1,0xdc:insn|data|branch_target|no_reorder|no_transform:3 0xb:insn|data|no_reorder|no_transform:1
