region,region_start,width,phase,base,chunks,unique_chunks,duplicate_chunks,duplicate_instances,zeroish_chunks,anchors_total,anchors_on_boundary,anchors_near_boundary,score
flk_dense,0x700169a2,8,0,0x700169a2,765,715,37,87,2,40,5,16,278
flk_dense,0x700169a2,8,1,0x700169a3,765,701,38,102,2,40,6,16,306
flk_dense,0x700169a2,8,2,0x700169a4,765,715,36,86,2,40,5,16,274
flk_dense,0x700169a2,8,3,0x700169a5,765,712,34,87,2,40,5,15,267
flk_dense,0x700169a2,8,4,0x700169a6,765,713,37,89,2,40,5,14,276
flk_dense,0x700169a2,8,5,0x700169a7,765,708,38,95,3,40,4,14,274
flk_dense,0x700169a2,8,6,0x700169a8,765,711,39,93,3,40,5,14,285
flk_dense,0x700169a2,8,7,0x700169a9,764,719,34,79,3,40,5,15,258
flk_dense,0x700169a2,16,0,0x700169a2,382,375,6,13,0,40,3,10,81
flk_dense,0x700169a2,16,1,0x700169a3,382,375,6,13,0,40,4,10,91
flk_dense,0x700169a2,16,2,0x700169a4,382,375,6,13,0,40,3,9,79
flk_dense,0x700169a2,16,3,0x700169a5,382,374,6,14,0,40,2,7,66
flk_dense,0x700169a2,16,4,0x700169a6,382,376,5,11,0,40,2,6,58
flk_dense,0x700169a2,16,5,0x700169a7,382,376,5,11,0,40,2,7,60
flk_dense,0x700169a2,16,6,0x700169a8,382,376,5,11,0,40,3,7,70
flk_dense,0x700169a2,16,7,0x700169a9,382,375,6,13,0,40,2,7,65
flk_dense,0x700169a2,16,8,0x700169aa,382,376,5,11,0,40,2,6,58
flk_dense,0x700169a2,16,9,0x700169ab,382,377,5,10,0,40,2,6,57
flk_dense,0x700169a2,16,10,0x700169ac,382,380,2,4,0,40,2,7,44
flk_dense,0x700169a2,16,11,0x700169ad,382,379,3,6,0,40,3,8,61
flk_dense,0x700169a2,16,12,0x700169ae,382,378,4,8,0,40,3,8,66
flk_dense,0x700169a2,16,13,0x700169af,382,378,4,8,1,40,2,7,53
flk_dense,0x700169a2,16,14,0x700169b0,382,378,4,8,1,40,2,7,53
flk_dense,0x700169a2,16,15,0x700169b1,381,376,5,10,1,40,3,8,70
ann_dense,0x70081ec5,8,0,0x70081ec5,396,189,44,251,1,31,3,20,452
ann_dense,0x70081ec5,8,1,0x70081ec6,396,192,43,247,1,31,3,9,423
ann_dense,0x70081ec5,8,2,0x70081ec7,396,192,42,246,1,31,3,9,419
ann_dense,0x70081ec5,8,3,0x70081ec8,396,193,43,246,1,31,3,6,416
ann_dense,0x70081ec5,8,4,0x70081ec9,396,188,44,252,1,31,0,4,391
ann_dense,0x70081ec5,8,5,0x70081eca,396,190,44,250,0,31,1,5,402
ann_dense,0x70081ec5,8,6,0x70081ecb,396,199,46,243,1,31,4,19,458
ann_dense,0x70081ec5,8,7,0x70081ecc,396,209,49,236,1,31,14,21,564
ann_dense,0x70081ec5,16,0,0x70081ec5,198,147,15,66,0,31,3,10,161
ann_dense,0x70081ec5,16,1,0x70081ec6,198,147,14,65,0,31,0,5,117
ann_dense,0x70081ec5,16,2,0x70081ec7,198,145,16,69,0,31,2,5,147
ann_dense,0x70081ec5,16,3,0x70081ec8,198,144,17,71,0,31,3,5,162
ann_dense,0x70081ec5,16,4,0x70081ec9,198,143,17,72,0,31,0,3,129
ann_dense,0x70081ec5,16,5,0x70081eca,198,143,17,72,0,31,0,1,125
ann_dense,0x70081ec5,16,6,0x70081ecb,198,148,16,66,0,31,1,8,140
ann_dense,0x70081ec5,16,7,0x70081ecc,198,150,16,64,0,31,7,8,198
ann_dense,0x70081ec5,16,8,0x70081ecd,197,143,16,70,0,31,0,10,138
ann_dense,0x70081ec5,16,9,0x70081ece,197,144,16,69,0,31,3,4,155
ann_dense,0x70081ec5,16,10,0x70081ecf,197,145,15,67,0,31,1,4,130
ann_dense,0x70081ec5,16,11,0x70081ed0,197,148,14,63,0,31,0,1,107
ann_dense,0x70081ec5,16,12,0x70081ed1,197,145,15,67,0,31,0,1,114
ann_dense,0x70081ec5,16,13,0x70081ed2,197,145,15,67,0,31,1,4,130
ann_dense,0x70081ec5,16,14,0x70081ed3,197,148,16,65,0,31,3,11,165
ann_dense,0x70081ec5,16,15,0x70081ed4,197,152,14,59,0,31,7,13,197
