metric,value
score_version,v10_bucket_fields
flix_score,2874
boundary_rows,67
resolved_boundary_ratio,1.0000
ambiguous_count,0
c1_candidate_bundle_start,1
abc_minus_0xb_landing,32
abc_minus_0xb_total,32
abc_landing_ratio,1.0000
d_generated_template,27
d_generated_total,27
d_template_ratio,1.0000
strong_template_families,5
d_fixed29_template_families,3
control_vote_boundaries,15
actionable_control_votes,164
high_score_control_candidates,225
pcrel_usable_candidates,149
pcrel_rejected_candidates,90
pcrel_supported_boundaries,15
internal_control_boundaries,133
internal_strong_boundaries,103
internal_medium_boundaries,30
internal_prop_groups,20
accepted_slot_templates,4
high_volume_slot_templates,1
slot_template_internal_edges,133
operand_model_rows,4
accepted_operand_models,1
negative_operand_models,1
operand_model_internal_edges,133
operand_model_delta_match_ratio,1.0000
cfg_edges,149
cfg_strong_edges,103
cfg_medium_edges,30
cfg_landing_edges,16
cfg_nodes,149
cfg_strong_nodes,103
cfg_medium_nodes,30
cfg_clusters,20
accepted_cfg_clusters,20
basic_blocks,176
terminated_blocks,66
fallthrough_blocks,109
strong_blocks,30
medium_blocks,24
block_edges,175
block_components,52
linear_components,40
branch_components,12
mapped_dispatch_anchors,67
close_dispatch_anchors,59
far_dispatch_anchors,8
exact_dispatch_blocks,9
inside_dispatch_blocks,0
successor_dispatch_nodes,10
kernel_buckets,9
strong_kernel_buckets,7
kernel_component_maps,52
dispatch_kernel_maps,67
dispatch_kernel_close,59
abc_landing_buckets,5
d_ann_stub_buckets,1
body_kernel_buckets,2
control_anchor_buckets,1
bucket_field_samples,67
bucket_templates,69
stable_bucket_templates,4
strong_bucket_templates,0
bucket_field_rows,1288
fixed_bucket_fields,447
variable_bucket_fields,841
bucket_variable_ranges,122
d_stub_rows,31
d_stub_exact_rows,9
d_stub_close_rows,14
d_stub_far_rows,8
op_registry_entries,63
op_static_joins,0
op_unresolved_static_joins,63
ghidra_focus_targets,119
ghidra_p0_focus_targets,9
false_bundle_abc,0
false_template_non_d,0
d_missed_templates,0
