table,offset,unique_values,entropy,most_common,fixed
A,0,2,1.0000,84:6 f4:6,0
A,1,2,0.8113,1a:9 19:3,0
A,2,1,-0.0000,70:12,1
A,3,2,1.0000,84:6 f4:6,0
A,4,7,2.7516,80:2 00:2 e0:2 60:2 a0:2,0
A,5,12,3.5850,d8:1 e7:1 fe:1 0d:1 25:1,0
A,6,2,1.0000,89:6 f9:6,0
A,7,1,-0.0000,01:12,1
A,8,4,2.0000,c6:3 86:3 46:3 06:3,0
A,9,12,3.5850,17:1 f9:1 fc:1 ff:1 01:1,0
A,10,2,0.8113,fb:9 fa:3,0
A,11,2,1.0000,f4:6 84:6,0
A,12,3,1.0409,1a:9 19:2 18:1,0
A,13,1,-0.0000,70:12,1
A,14,2,1.0000,f4:6 84:6,0
A,15,8,2.9183,00:2 e0:2 60:2 a0:2 20:1,0
A,16,12,3.5850,b4:1 a6:1 e7:1 fe:1 0d:1,0
A,17,2,1.0000,f9:6 89:6,0
A,18,1,-0.0000,01:12,1
A,19,4,2.0000,06:3 c6:3 86:3 46:3,0
A,20,12,3.5850,15:1 f6:1 f9:1 fc:1 ff:1,0
A,21,2,0.9183,fb:8 fa:4,0
A,22,2,1.0000,84:6 f4:6,0
A,23,3,1.1887,1a:8 19:3 18:1,0
A,24,1,-0.0000,70:12,1
A,25,2,1.0000,84:6 f4:6,0
A,26,9,3.0850,a0:2 e0:2 60:2 d0:1 20:1,0
A,27,12,3.5850,a3:1 b7:1 a6:1 e7:1 fe:1,0
A,28,2,1.0000,89:6 f9:6,0
A,29,1,-0.0000,01:12,1
A,30,4,2.0000,46:3 06:3 c6:3 86:3,0
A,31,12,3.5850,12:1 f4:1 f6:1 f9:1 fc:1,0
A,mask32,,,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? ?? ?? ?? 70 ?? ?? ?? ?? 01 ?? ?? ?? ?? ?? 70 ?? ?? ?? ?? 01 ?? ??,6
B,0,2,1.0000,84:6 f4:6,0
B,1,2,0.9183,19:8 18:4,0
B,2,1,-0.0000,70:12,1
B,3,2,1.0000,84:6 f4:6,0
B,4,12,3.5850,20:1 80:1 30:1 90:1 40:1,0
B,5,12,3.5850,a6:1 b8:1 d9:1 eb:1 0c:1,0
B,6,2,1.0000,89:6 f9:6,0
B,7,1,-0.0000,01:12,1
B,8,4,2.0000,c6:3 86:3 46:3 06:3,0
B,9,12,3.5850,f6:1 d8:1 db:1 de:1 e0:1,0
B,10,1,-0.0000,fa:12,1
B,11,3,1.3250,f4:6 84:5 2d:1,0
B,12,3,1.1887,19:8 18:3 0a:1,0
B,13,2,0.4138,70:11 1d:1,0
B,14,3,1.3250,f4:6 84:5 f0:1,0
B,15,12,3.5850,d0:1 a4:1 80:1 30:1 90:1,0
B,16,12,3.5850,b7:1 00:1 b8:1 d9:1 eb:1,0
B,17,3,1.3250,f9:6 89:5 70:1,0
B,18,2,0.4138,01:11 e4:1,0
B,19,5,2.2296,06:3 86:3 46:3 c6:2 00:1,0
B,20,12,3.5850,f4:1 70:1 d8:1 db:1 de:1,0
B,21,2,0.4138,fa:11 b4:1,0
B,22,4,1.6500,84:5 f4:5 00:1 2d:1,0
B,23,4,1.5511,19:7 18:3 70:1 0a:1,0
B,24,3,0.8167,70:10 84:1 1d:1,0
B,25,3,1.4834,84:5 f4:5 f0:2,0
B,26,12,3.5850,70:1 7f:1 a4:1 80:1 30:1,0
B,27,12,3.5850,a5:1 d4:1 00:1 b8:1 d9:1,0
B,28,4,1.6500,89:5 f9:5 00:1 70:1,0
B,29,3,0.8167,01:10 70:1 e4:1,0
B,30,6,2.4591,46:3 86:3 06:2 c6:2 d4:1,0
B,31,12,3.5850,f1:1 fc:1 70:1 d8:1 db:1,0
B,mask32,,,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fa ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ??,3
C,0,2,0.9799,f4:7 84:5,0
C,1,2,1.0000,17:6 18:6,0
C,2,1,-0.0000,70:12,1
C,3,2,0.9799,f4:7 84:5,0
C,4,8,2.9183,e0:2 70:2 00:2 90:2 c0:1,0
C,5,12,3.5850,70:1 82:1 a4:1 b6:1 d7:1,0
C,6,2,0.9799,f9:7 89:5,0
C,7,1,-0.0000,01:12,1
C,8,5,2.2296,06:3 86:3 46:3 c6:2 c0:1,0
C,9,12,3.5850,36:1 82:1 1a:1 1d:1 20:1,0
C,10,2,0.4138,fb:11 82:1,0
C,11,3,1.3250,84:6 f4:5 60:1,0
C,12,4,1.6258,18:6 17:4 55:1 19:1,0
C,13,2,0.4138,70:11 82:1,0
C,14,3,1.3250,84:6 f4:5 30:1,0
C,15,9,3.0850,70:2 00:2 90:2 b0:1 bb:1,0
C,16,12,3.5850,84:1 82:1 d8:1 a4:1 b6:1,0
C,17,3,1.3250,89:6 f9:5 40:1,0
C,18,2,0.4138,01:11 3d:1,0
C,19,5,2.2296,46:3 c6:3 86:3 06:2 82:1,0
C,20,12,3.5850,33:1 70:1 17:1 1a:1 1d:1,0
C,21,2,0.4138,fb:11 4d:1,0
C,22,3,1.3250,f4:6 84:5 82:1,0
C,23,5,1.9508,18:5 17:4 b0:1 1a:1 19:1,0
C,24,2,0.4138,70:11 33:1,0
C,25,3,1.3250,f4:6 84:5 82:1,0
C,26,7,2.6887,00:3 90:2 50:2 70:2 80:1,0
C,27,12,3.5850,72:1 44:1 b4:1 d8:1 a4:1,0
C,28,3,1.3250,f9:6 89:5 82:1,0
C,29,2,0.4138,01:11 1e:1,0
C,30,5,2.2296,86:3 06:3 c6:3 46:2 8a:1,0
C,31,12,3.5850,30:1 16:1 15:1 17:1 1a:1,0
C,mask32,,,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ??,2
D,0,3,0.6595,ce:27 1c:3 1e:1,0
D,1,2,0.4587,b0:28 25:3,0
D,2,3,0.6595,01:27 65:3 00:1,0
D,3,2,0.4587,03:28 06:3,0
D,4,3,0.6595,98:27 1e:3 59:1,0
D,5,3,0.6595,fc:27 be:3 a0:1,0
D,6,3,0.6595,00:27 6a:3 d5:1,0
D,7,3,0.6595,08:27 66:3 05:1,0
D,8,3,0.6595,08:27 25:3 31:1,0
D,9,3,0.6595,02:27 5e:3 a8:1,0
D,10,3,0.6595,40:27 64:3 85:1,0
D,11,3,0.6595,02:27 10:3 3e:1,0
D,12,3,0.6595,40:27 00:3 c8:1,0
D,13,3,0.6595,08:27 30:3 06:1,0
D,14,2,0.4587,04:28 d0:3,0
D,15,2,0.4587,02:28 05:3,0
D,16,2,0.4587,f0:28 8c:3,0
D,17,2,0.4587,20:28 f4:3,0
D,18,2,0.4587,00:28 06:3,0
D,19,2,0.4587,f0:28 04:3,0
D,20,2,0.4587,20:28 02:3,0
D,21,2,0.4587,00:28 1d:3,0
D,22,5,2.1665,65:11 e5:8 25:5 a5:4 f0:3,0
D,23,28,4.7363,00:3 78:2 ff:1 c2:1 b0:1,0
D,24,18,3.9134,07:6 00:3 10:2 15:2 03:2,0
D,25,3,0.6595,92:27 00:3 b2:1,0
D,26,2,0.4587,02:28 00:3,0
D,27,2,0.4587,0d:28 00:3,0
D,28,2,0.4587,a0:28 00:3,0
D,29,2,0.4587,a8:28 22:3,0
D,30,2,0.4587,74:28 a2:3,0
D,31,2,0.4587,a0:28 00:3,0
D,mask32,,,?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ??,0
