family,count,addr_min,addr_max,mod8_residues,mod16_residues,fixed32_count,mask32,top_first8,top_first16
A_minus_0xb_landing_series,11,0x70017d4c,0x70017dba,0:1 1:1 2:2 3:1 4:2 5:1 6:1 7:2,2:1 3:1 4:1 7:1 8:1 9:1 10:1 12:1 13:1 14:1 15:1,6,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? ?? ?? ?? 70 ?? ?? ?? ?? 01 ?? ?? ?? ?? ?? 70 ?? ?? ?? ?? 01 ?? ??,f41970f400e7f901:1 84197084e0fe8901:1 f41a70f4600df901:1 841a708440258901:1 f41a70f4a035f901:1,f41970f400e7f90186f9fa8418708420:1 84197084e0fe890146fcfaf41970f400:1 f41a70f4600df90106fffa84197084e0:1 841a708440258901c601fbf41a70f460:1 f41a70f4a035f9018604fb841a708440:1
A_misc,1,0x70017d41,0x70017d41,1:1,1:1,32,84 19 70 84 80 d8 89 01 c6 17 fb f4 1a 70 f4 00 b4 f9 01 06 15 fb 84 1a 70 84 a0 a3 89 01 46 12,8419708480d88901:1,8419708480d88901c617fbf41a70f400:1
B_minus_0xb_landing_series,11,0x70017dd0,0x70017e3e,0:2 1:1 2:1 3:2 4:1 5:1 6:2 7:1,0:1 1:1 2:1 3:1 6:1 7:1 8:1 11:1 12:1 13:1 14:1,3,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fa ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ??,f41870f480b8f901:1 8418708430d98901:1 f41870f490ebf901:1 84197084400c8901:1 f41970f4a01ef901:1,f41870f480b8f90186d8fa2d0a1df0a4:1 8418708430d9890146dbfaf41870f480:1 f41870f490ebf90106defa8418708430:1 84197084400c8901c6e0faf41870f490:1 f41970f4a01ef90186e3fa8419708440:1
B_misc,1,0x70017dc5,0x70017dc5,5:1,5:1,32,84 18 70 84 20 a6 89 01 c6 f6 fa f4 19 70 f4 d0 b7 f9 01 06 f4 fa 84 19 70 84 70 a5 89 01 46 f1,8418708420a68901:1,8418708420a68901c6f6faf41970f4d0:1
C_minus_0xb_landing_series,10,0x70017cd3,0x70017d36,0:1 1:1 2:1 3:2 4:1 5:1 6:2 7:1,0:1 3:1 4:1 5:1 6:1 9:1 10:1 11:1 14:1 15:1,8,?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fb ?? ?? 70 ?? ?? ?? ?? 01 ?? ?? fb ?? ?? 70 ?? ?? ?? ?? 01 ?? ??,f41770f450a4f901:1 8417708470b68901:1 f41770f4e0d7f901:1 8417708400ea8901:1 f41870f4700bf901:1,f41770f450a4f901861afb8419708480:1 8417708470b68901461dfbf41770f450:1 f41770f4e0d7f9010620fb8417708470:1 8417708400ea8901c622fbf41770f4e0:1 f41870f4700bf9018625fb8417708400:1
C_misc,1,0x70017cc8,0x70017cc8,0:1,8:1,32,f4 17 70 f4 c0 70 f9 01 06 36 fb 84 18 70 84 b0 84 89 01 46 33 fb f4 18 70 f4 90 72 f9 01 86 30,f41770f4c070f901:1,f41770f4c070f9010636fb84187084b0:1
C_special_0x700169a4,1,0x700169a4,0x700169a4,4:1,4:1,32,f4 17 70 f4 e0 82 f9 01 c0 82 82 60 55 82 30 bb 82 40 3d 82 70 4d 82 b0 33 82 50 44 82 1e 8a 16,f41770f4e082f901:1,f41770f4e082f901c0828260558230bb:1
D_misc,1,0x70081ee7,0x70081ee7,7:1,7:1,32,ce b0 01 03 98 fc 00 08 08 02 40 02 40 08 04 02 f0 20 00 f0 20 00 25 ff 11 b2 02 0d a0 a8 74 a0,ceb0010398fc0008:1,ceb0010398fc00080802400240080402:1
D_shared_0x70081ec5,3,0x70081ec5,0x70081ec5,5:3,5:3,32,1c 25 65 06 1e be 6a 66 25 5e 64 10 00 30 d0 05 8c f4 06 04 02 1d f0 00 00 00 00 00 00 22 a2 00,1c2565061ebe6a66:3,1c2565061ebe6a66255e64100030d005:3
D_stride_minus_0x68,12,0x70082634,0x70082aac,4:12,4:6 12:6,29,ce b0 01 03 98 fc 00 08 08 02 40 02 40 08 04 02 f0 20 00 f0 20 00 ?? ?? ?? 92 02 0d a0 a8 74 a0,ceb0010398fc0008:12,ceb0010398fc00080802400240080402:12
D_stride_minus_0x75,9,0x70081f5e,0x700825cc,0:2 3:3 4:2 6:1 7:1,3:3 4:1 7:1 8:2 12:1 14:1,17,?? b0 ?? 03 ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? 04 02 f0 20 00 f0 20 00 ?? ?? ?? 92 02 0d a0 a8 74 a0,ceb0010398fc0008:8 1eb0000359a0d505:1,ceb0010398fc00080802400240080402:8 1eb0000359a0d50531a8853ec8060402:1
D_stride_minus_0x76,3,0x70082048,0x7008221e,0:1 6:2,8:1 14:2,29,ce b0 01 03 98 fc 00 08 08 02 40 02 40 08 04 02 f0 20 00 f0 20 00 ?? ?? ?? 92 02 0d a0 a8 74 a0,ceb0010398fc0008:3,ceb0010398fc00080802400240080402:3
D_stride_minus_0x77,3,0x7008237f,0x700824e2,2:1 3:1 7:1,2:1 11:1 15:1,29,ce b0 01 03 98 fc 00 08 08 02 40 02 40 08 04 02 f0 20 00 f0 20 00 ?? ?? ?? 92 02 0d a0 a8 74 a0,ceb0010398fc0008:3,ceb0010398fc00080802400240080402:3
